Month,SAR_3,SAR_adj_3,SAR_5,SAR_adj_5,SAR_5_comb,SAR_adj_5_comb
Jan 20,,,,,,
Feb 20,,,,,,
Mar 20,,,,,,
Apr 20,,,,,,
May 20,,,,,,
Jun 20,,,,,,
Jul 20,,,,,,
Aug 20,,,,,,
Sep 20,,,,,,
Oct 20,,,,,,
Nov 20,,,,,,
Dec 20,,,,,,
Jan 21,0.122206775444501,0.122206775444501,0.122206775444501,0.122206775444501,0.122206775444501,0.122206775444501
Feb 21,0.110203870031235,0.110203870031235,0.110203870031235,0.110203870031235,0.110203870031235,0.110203870031235
Mar 21,0.0967119468199051,0.0967119468199051,0.0967119468199051,0.0967119468199051,0.0967119468199051,0.0967119468199051
Apr 21,0.0973553720469562,0.0973553720469562,0.0973553720469562,0.0973553720469562,0.0973553720469562,0.0973553720469562
May 21,0.112035317890711,0.112035317890711,0.112035317890711,0.112035317890711,0.112035317890711,0.112035317890711
Jun 21,0.106248321385015,0.106248321385015,0.106248321385015,0.106248321385015,0.106248321385015,0.106248321385015
Jul 21,0.0906305187413169,0.0906305187413169,0.0906305187413169,0.0906305187413169,0.0906305187413169,0.0906305187413169
Aug 21,0.111746305684392,0.111746305684392,0.111746305684392,0.111746305684392,0.111746305684392,0.111746305684392
Sep 21,0.107389635858728,0.107389635858728,0.111980916644468,0.111980916644468,0.111943039751045,0.111943039751045
Oct 21,0.108281340321671,0.108281340321671,0.111432709936598,0.111432709936598,0.106378664278382,0.106378664278382
Nov 21,0.410968183678902,0.10807409693719,0.410968183678902,0.10807409693719,0.410968183678902,0.108073451833925
Dec 21,0.442557735693559,0.133838590414614,0.455457222518323,0.137889083025452,0.455430722338781,0.121971828009053
Jan 22,0.457014096408849,0.109294293598151,0.475812484112228,0.115197065663628,0.475773197710203,0.115197065663628
Feb 22,0.385747359224171,0.0855365448504984,0.497187868261841,0.117051495016611,0.497178891470295,0.117051495016611
