TWEET_ID,AUTHOR_COVID,AUTHOR_SYMPTOMS,FAMILY,FAMILY_COVID,FAMILY_SYMPTOMS
1417525516568080389,False,False,True,False,False,
1373230709935116288,False,False,False,False,False,
1372633405100285957,False,False,False,False,False,
1392780782800932866,False,False,False,False,False,
1476905194894073859,False,False,False,False,False,
1356988582972522497,False,False,True,True,False,
1303881551676141570,False,False,False,False,False,
1252142916304162822,False,False,False,False,False,
1425201307405725698,False,False,False,False,False,
1238787885983301635,False,False,True,False,False,
1318237358186287105,False,False,True,False,False,
1332243635660877825,False,False,False,False,False,
1459243435504852992,True,False,False,False,False,
1421347119588253700,False,False,True,True,False,
1378416908639338498,False,False,True,True,True,
1389987389490143233,False,False,False,False,False,
1452262017407070212,True,False,False,False,False,
1464744183940493312,False,False,True,False,False,
1340353444226486273,False,False,False,False,False,
1354519736609087490,False,False,True,False,False,
1345865850578984961,False,False,False,False,False,
1327356368001622017,False,False,False,False,False,
1376453420538867713,False,False,False,False,False,
1481886457254064128,False,False,False,False,False,
1456011696905068547,False,False,False,False,False,
1493838976935145472,True,True,False,False,False,
1475593990510727168,False,False,True,True,False,
1419399651745165316,False,False,True,True,False,
1451102267155927040,False,False,False,False,False,
1475615498373009408,True,False,True,True,False,
1412287697721434117,False,False,False,False,False,
1351229213093879819,False,False,True,False,False,
1283105780183568387,False,False,True,False,False,
1434290637009039360,False,False,True,True,False,
1467464862695665666,False,True,False,False,False,
1420910916309245952,True,True,True,True,True,
1450540674298912780,False,False,False,False,False,
1417493140395765765,False,True,False,False,False,
1400403315985371138,True,False,False,False,False,
1452218217032822787,False,True,False,False,False,
1371893020518416384,False,False,True,False,False,
1404092702094995461,False,False,False,False,False,
1471838350353080325,False,False,True,True,False,
1479182280543375370,False,False,True,False,False,
1420107690156732425,False,False,True,True,False,
1360222318514106368,False,False,False,False,False,
1478123902857617408,False,True,False,False,False,
1341489058162339850,False,False,False,False,False,
1487202913529516032,False,False,True,True,False,
1338102851508330498,False,False,False,False,False,
1375221729434419201,False,False,True,False,False,
1430173783348895747,False,False,True,False,False,
1488919513152335872,True,False,False,False,False,
1405848276319014913,False,False,False,False,False,
1477279354111643648,False,False,False,False,False,
1270111182163238917,True,False,False,False,False,
1472124818405441536,False,False,False,False,False,
1235844180095561729,False,False,False,False,False,
1509105055152148483,False,False,True,True,False,
1329414886087155713,False,False,False,False,False,
1331978647541059586,False,False,True,True,False,
1415867013075980289,False,False,False,False,False,
1436642343336218627,False,False,True,True,False,
1482616458756726787,False,False,False,False,False,
1435155674476990473,False,False,False,True,True,
1458054696665370627,False,False,False,False,False,
1471781757263523841,True,False,False,False,False,
1355991226193899521,False,False,False,False,False,
1471041673316679683,False,False,False,False,False,
1438060109167431688,False,False,False,False,False,
1487227583586525195,False,False,False,False,False,
