,Unnamed: 0,TWEET_ID,USER_ID,TWEET_TEXT,AUTHOR_COVID,AUTHOR_SYMPTOMS,FAMILY,FAMILY_COVID,FAMILY_SYMPTOMS,TWEET_TEXT_PROCESSED,HASHTAGS,POS,DUPLICATE,NON_ENGLISH,IF,COVID,TWEET_TEXT_PROCESSED_POSTAGGED
0,0,1338607089879556100,20535534,@DavidG_CA @MikeBubbins @distantpod @charlotteDruid Since becoming a patreon on @distantpod I have remained Covid free. I have also stopped drinking. Make your own minds up.,0,0,0,0,0,since becoming a patreon on distantpod i have remained covid free. i have also stopped drinking. make your own minds up.,[],since_IN becoming_VBG a_DT patreon_NN on_IN distantpod_NN i_NNS have_VBP remained_VBN covid_JJ free_JJ i_NN have_VBP also_RB stopped_VBN drinking_NN make_VB own_JJ minds_NNS up_RB,False,False,False,True,since becoming a patreon on distantpod i have remained covid free. i have also stopped drinking. make your own minds up. since_IN becoming_VBG a_DT patreon_NN on_IN distantpod_NN i_NNS have_VBP remained_VBN covid_JJ free_JJ i_NN have_VBP also_RB stopped_VBN drinking_NN make_VB own_JJ minds_NNS up_RB
1,1,1245831585783369730,73914646,"Day 1of potential Covid symptoms,sore throat, annoying cough, hot and cold sweats. No temp. Been medically stood down for 14 days. #gutted #StayHomeSaveLives",0,1,0,0,0,"day 1of potential covid symptoms,sore throat, annoying cough, hot and cold sweats. no temp. been medically stood down for 14 days. #gutted #stayhomesavelives","['#gutted', '#StayHomeSaveLives']",day_NN 1of_CD potential_JJ covid_NN symptoms_NNS sore_RB throat_NN annoying_VBG cough_NN hot_JJ and_CC cold_JJ sweats_NNS no_DT temp_NN been_VBN medically_RB stood_VBD down_RB for_IN 14_CD days_NNS #gutted_VBN #stayhomesavelives_NNS,False,False,False,True,"day 1of potential covid symptoms,sore throat, annoying cough, hot and cold sweats. no temp. been medically stood down for 14 days. #gutted #stayhomesavelives day_NN 1of_CD potential_JJ covid_NN symptoms_NNS sore_RB throat_NN annoying_VBG cough_NN hot_JJ and_CC cold_JJ sweats_NNS no_DT temp_NN been_VBN medically_RB stood_VBD down_RB for_IN 14_CD days_NNS #gutted_VBN #stayhomesavelives_NNS"
2,2,1245962950759809024,3000459111,"@MattLCapon #askdoctorh I work for the nhs and I’m self isolating this week with covid 19 symptoms, next week when I return I will be working on a covid positive ward, should I be tested before I return?",0,1,0,0,0,"#askdoctorh i work for the nhs and i am self isolating this week with covid 19 symptoms, next week when i return i will be working on a covid positive ward, should i be tested before i return?",['#askdoctorh'],#askdoctorh_NN i_NN work_NN for_IN the_DT nhs_NN and_CC i_NN am_VBP self_RB isolating_VBG this_DT week_NN with_IN covid_JJ 19_CD symptoms_NNS next_JJ week_NN when_WRB i_NN return_VBP i_NN will_MD be_VB working_VBG on_IN a_DT covid_NN positive_JJ ward_NN should_MD i_VB be_VB tested_VBN before_IN i_JJ return_NN,False,False,False,True,"#askdoctorh i work for the nhs and i am self isolating this week with covid 19 symptoms, next week when i return i will be working on a covid positive ward, should i be tested before i return? #askdoctorh_NN i_NN work_NN for_IN the_DT nhs_NN and_CC i_NN am_VBP self_RB isolating_VBG this_DT week_NN with_IN covid_JJ 19_CD symptoms_NNS next_JJ week_NN when_WRB i_NN return_VBP i_NN will_MD be_VB working_VBG on_IN a_DT covid_NN positive_JJ ward_NN should_MD i_VB be_VB tested_VBN before_IN i_JJ return_NN"
3,3,1273267082709344257,14224443,"Mum Rachel, dad Jason and their son Lucas all tested positive for COVID-19. Now the family want to thank the hospice that stepped in to care for Lucas during their terrifying ordeal https://t.co/abZPkMXIJo",0,0,0,0,0,"mum rachel, dad jason and their son lucas all tested positive for covid-19. now the family want to thank the hospice that stepped in to care for lucas during their terrifying ordeal ",[],mum_JJ rachel_NN dad_NN jason_NN and_CC son_NN lucas_IN all_DT tested_VBN positive_JJ for_IN covid_JJ 19_CD now_RB the_DT family_NN want_VBP to_TO thank_VB the_DT hospice_NN that_WDT stepped_VBD in_IN to_TO care_VB for_IN lucas_NN during_IN terrifying_NN ordeal_NN,False,False,False,True,"mum rachel, dad jason and their son lucas all tested positive for covid-19. now the family want to thank the hospice that stepped in to care for lucas during their terrifying ordeal  mum_JJ rachel_NN dad_NN jason_NN and_CC son_NN lucas_IN all_DT tested_VBN positive_JJ for_IN covid_JJ 19_CD now_RB the_DT family_NN want_VBP to_TO thank_VB the_DT hospice_NN that_WDT stepped_VBD in_IN to_TO care_VB for_IN lucas_NN during_IN terrifying_NN ordeal_NN"
4,4,1311722610967928832,91107994,"Covid test 4.30 Tues at Cardiff drive through, now 50hrs later still no result, I’m a teacher, my husband is a teacher and my son is school age. We are all missing school, I thought key worker tests were a priority @PublicHealthW @wgmin_education @fmwales @WelshGovernment",0,1,1,0,0,"covid test 4.30 tues at cardiff drive through, now 50hrs later still no result, i am a teacher, my husband is a teacher and my son is school age. we are all missing school, i thought key worker tests were a priority publichealthw wgmin_education fmwales welshgovernment",[],covid_JJ test_NN 4.30_CD tues_NNS at_IN cardiff_NN drive_NN through_IN now_RB 50hrs_CD later_RB still_RB no_DT result_NN i_NN am_VBP a_DT teacher_NN husband_NN is_VBZ a_DT teacher_NN and_CC son_NN is_VBZ school_NN age_NN we_PRP are_VBP all_DT missing_JJ school_NN i_VB thought_VBN key_JJ worker_NN tests_NNS were_VBD a_DT priority_NN publichealthw_NN wgmin_education_NN fmwales_NNS welshgovernment_NN,False,False,False,True,"covid test 4.30 tues at cardiff drive through, now 50hrs later still no result, i am a teacher, my husband is a teacher and my son is school age. we are all missing school, i thought key worker tests were a priority publichealthw wgmin_education fmwales welshgovernment covid_JJ test_NN 4.30_CD tues_NNS at_IN cardiff_NN drive_NN through_IN now_RB 50hrs_CD later_RB still_RB no_DT result_NN i_NN am_VBP a_DT teacher_NN husband_NN is_VBZ a_DT teacher_NN and_CC son_NN is_VBZ school_NN age_NN we_PRP are_VBP all_DT missing_JJ school_NN i_VB thought_VBN key_JJ worker_NN tests_NNS were_VBD a_DT priority_NN publichealthw_NN wgmin_education_NN fmwales_NNS welshgovernment_NN"
5,5,1259765095451762688,857526946145722368,"@C4Ciaran @mikegalsworthy Will Johnson &amp; cronies soon be attempting to argue that because the Covid19 virus had spread thousands of miles to get to UK - as opposed to just channel-hopping across to Japan - that all those air-rage miles had welled up inside it, creating a very ill-tempered entity indeed ?",0,0,0,0,0,"will johnson  cronies soon be attempting to argue that because the covid19 virus had spread thousands of miles to get to uk - as opposed to just channel-hopping across to japan - that all those air-rage miles had welled up inside it, creating a very ill-tempered entity indeed ?",[],will_MD johnson_VB cronies_NNS soon_RB be_VB attempting_VBG to_TO argue_VB that_IN because_IN the_DT covid_NN 19_CD virus_NN had_VBD spread_VBN thousands_NNS of_IN miles_NNS to_TO get_VB to_TO uk_VB as_IN opposed_VBN to_TO just_RB channel-hopping_JJ across_IN to_TO japan_VB that_IN all_PDT those_DT air-rage_JJ miles_NNS had_VBD welled_VBN up_RP inside_IN it_PRP creating_VBG a_DT very_RB ill-tempered_JJ entity_NN indeed_RB,False,False,False,True,"will johnson  cronies soon be attempting to argue that because the covid19 virus had spread thousands of miles to get to uk - as opposed to just channel-hopping across to japan - that all those air-rage miles had welled up inside it, creating a very ill-tempered entity indeed ? will_MD johnson_VB cronies_NNS soon_RB be_VB attempting_VBG to_TO argue_VB that_IN because_IN the_DT covid_NN 19_CD virus_NN had_VBD spread_VBN thousands_NNS of_IN miles_NNS to_TO get_VB to_TO uk_VB as_IN opposed_VBN to_TO just_RB channel-hopping_JJ across_IN to_TO japan_VB that_IN all_PDT those_DT air-rage_JJ miles_NNS had_VBD welled_VBN up_RP inside_IN it_PRP creating_VBG a_DT very_RB ill-tempered_JJ entity_NN indeed_RB"
6,6,1249991530200383493,15206103,"Paradox of coronavirus as an asthmatic: while, even a few weeks after my (relatively mild) Covid symptoms, I can still feel the bug a bit with exertion, overall my lungs feel loads better because of the astonishingly different air quality. Would love to have this air all the time",0,1,0,0,0,"paradox of coronavirus as an asthmatic: while, even a few weeks after my (relatively mild) covid symptoms, i can still feel the bug a bit with exertion, overall my lungs feel loads better because of the astonishingly different air quality. would love to have this air all the time",[],paradox_NN of_IN coronavirus_NN as_IN an_DT asthmatic_JJ while_NN even_RB a_DT few_JJ weeks_NNS after_IN relatively_RB mild_VBP covid_NN symptoms_NNS i_NN can_MD still_RB feel_VB the_DT bug_NN a_DT bit_NN with_IN exertion_NN overall_JJ lungs_NNS feel_VBP loads_RB better_RB because_IN of_IN the_DT astonishingly_RB different_JJ air_NN quality_NN would_MD love_VB to_TO have_VB this_DT air_NN all_PDT the_DT time_NN,False,False,False,True,"paradox of coronavirus as an asthmatic: while, even a few weeks after my (relatively mild) covid symptoms, i can still feel the bug a bit with exertion, overall my lungs feel loads better because of the astonishingly different air quality. would love to have this air all the time paradox_NN of_IN coronavirus_NN as_IN an_DT asthmatic_JJ while_NN even_RB a_DT few_JJ weeks_NNS after_IN relatively_RB mild_VBP covid_NN symptoms_NNS i_NN can_MD still_RB feel_VB the_DT bug_NN a_DT bit_NN with_IN exertion_NN overall_JJ lungs_NNS feel_VBP loads_RB better_RB because_IN of_IN the_DT astonishingly_RB different_JJ air_NN quality_NN would_MD love_VB to_TO have_VB this_DT air_NN all_PDT the_DT time_NN"
7,7,1251527972470886401,3762993921,What a week #Covid_19 I’ve just spent the last 7days in bed after symptoms started 9days ago I feel like my body has a long way to go to fully recover but feel lucky to hopefully have turned the corner 🌈 hopefully soon I can give my kids a big cuddle 🤗 #StayatHome,0,1,0,0,0,what a week #covid_19 i have just spent the last 7days in bed after symptoms started 9days ago i feel like my body has a long way to go to fully recover but feel lucky to hopefully have turned the corner :rainbow: hopefully soon i can give my kids a big cuddle :smiling_face_with_open_hands: #stayathome,"['#Covid_19', '#StayatHome']",what_WP a_DT week_NN #covid_19_NN i_NN have_VBP just_RB spent_VBN the_DT last_JJ 7days_CD in_IN bed_NN after_IN symptoms_NNS started_VBD 9days_CD ago_IN i_JJ feel_VBP like_IN body_NN has_VBZ a_DT long_JJ way_NN to_TO go_VB to_TO fully_RB recover_VB but_CC feel_VB lucky_JJ to_TO hopefully_RB have_VB turned_VBN the_DT corner_NN rainbow_NN hopefully_RB soon_RB i_JJ can_MD give_VB kids_NNS a_DT big_JJ cuddle_NN smiling_face_with_open_hands_NNS #stayathome_NN,False,False,False,True,what a week #covid_19 i have just spent the last 7days in bed after symptoms started 9days ago i feel like my body has a long way to go to fully recover but feel lucky to hopefully have turned the corner :rainbow: hopefully soon i can give my kids a big cuddle :smiling_face_with_open_hands: #stayathome what_WP a_DT week_NN #covid_19_NN i_NN have_VBP just_RB spent_VBN the_DT last_JJ 7days_CD in_IN bed_NN after_IN symptoms_NNS started_VBD 9days_CD ago_IN i_JJ feel_VBP like_IN body_NN has_VBZ a_DT long_JJ way_NN to_TO go_VB to_TO fully_RB recover_VB but_CC feel_VB lucky_JJ to_TO hopefully_RB have_VB turned_VBN the_DT corner_NN rainbow_NN hopefully_RB soon_RB i_JJ can_MD give_VB kids_NNS a_DT big_JJ cuddle_NN smiling_face_with_open_hands_NNS #stayathome_NN
8,8,1280082744136159232,1058658969261146117,"Our household was offerred tests as part of @KingsCollegeLon study using their Covid Symptoms app. None of us had symptoms.
Yesterday I found out the Covid-19 test I took on Friday was positive.
I had no symptoms.",0,0,1,0,0,our household was offerred tests as part of kingscollegelon study using their covid symptoms app. none of us had symptoms. yesterday i found out the covid-19 test i took on friday was positive. i had no symptoms.,[],household_NN was_VBD offerred_JJ tests_NNS as_IN part_NN of_IN kingscollegelon_NN study_NN using_VBG covid_NN symptoms_NNS app_RB none_NN of_IN us_PRP had_VBD symptoms_NNS yesterday_NN i_VBP found_VBN out_IN the_DT covid_NN 19_CD test_NN i_NN took_VBD on_IN friday_NN was_VBD positive_JJ i_NN had_VBD no_DT symptoms_NNS,False,False,False,True,our household was offerred tests as part of kingscollegelon study using their covid symptoms app. none of us had symptoms. yesterday i found out the covid-19 test i took on friday was positive. i had no symptoms. household_NN was_VBD offerred_JJ tests_NNS as_IN part_NN of_IN kingscollegelon_NN study_NN using_VBG covid_NN symptoms_NNS app_RB none_NN of_IN us_PRP had_VBD symptoms_NNS yesterday_NN i_VBP found_VBN out_IN the_DT covid_NN 19_CD test_NN i_NN took_VBD on_IN friday_NN was_VBD positive_JJ i_NN had_VBD no_DT symptoms_NNS
9,9,1265582080949395456,51728901,"I have a favour to ask💫, my partner recently started his own buisness teaching gymnastics but then Covid happened - he's been making YouTube videos and working SO hard to build it - if anyone could view, like or even subscribe it would mean the WORLD 🌏 https://t.co/Wi9Ka4Lmhh",0,0,1,0,0,"i have a favour to ask:dizzy:, my partner recently started his own buisness teaching gymnastics but then covid happened - he is been making youtube videos and working so hard to build it - if anyone could view, like or even subscribe it would mean the world :globe_showing_asia-australia: ",[],i_NNS have_VBP a_DT favour_NN to_TO ask_VB :d_JJ izzy_NN partner_NN recently_RB started_VBD own_JJ buisness_NN teaching_VBG gymnastics_NNS but_CC then_RB covid_NN happened_VBD he_PRP is_VBZ been_VBN making_VBG youtube_JJ videos_NNS and_CC working_VBG so_RB hard_JJ to_TO build_VB it_PRP if_IN anyone_NN could_MD view_VB like_IN or_CC even_RB subscribe_VB it_PRP would_MD mean_VB the_DT world_NN globe_showing_asia-australia_NN,False,False,False,True,"i have a favour to ask:dizzy:, my partner recently started his own buisness teaching gymnastics but then covid happened - he is been making youtube videos and working so hard to build it - if anyone could view, like or even subscribe it would mean the world :globe_showing_asia-australia:  i_NNS have_VBP a_DT favour_NN to_TO ask_VB :d_JJ izzy_NN partner_NN recently_RB started_VBD own_JJ buisness_NN teaching_VBG gymnastics_NNS but_CC then_RB covid_NN happened_VBD he_PRP is_VBZ been_VBN making_VBG youtube_JJ videos_NNS and_CC working_VBG so_RB hard_JJ to_TO build_VB it_PRP if_IN anyone_NN could_MD view_VB like_IN or_CC even_RB subscribe_VB it_PRP would_MD mean_VB the_DT world_NN globe_showing_asia-australia_NN"
