id,id,created_at,description,location,protected,followers_count,following_count,tweet_count,listed_count,UK,US
948473611798679553,948473611798679553,2018-01-03T08:38:25.000Z,"overzealous libra| hoodoo/spiritual spam| ever changing (she/her)
readings (open)",Ya Dreams,False,825,453,64114,0,False,False
232645054,232645054,2010-12-31T19:50:50.000Z,"cancer szn is foreva 💅🏾 $oxtailgravy. a @beyonce and @theestallion stan page, #enerGy💙 @fourthaloveof ✨🌞♋️ | 🌙♒️ | ⬆️♍️✨",bk. ,False,3711,1859,627488,31,False,False
1438086843489157120,1438086843489157120,2021-09-15T10:27:06.000Z,"동갑 사촌: @yyjk0305
뒷계: @CailyTiredAgain
게임계: @CailysGameLife
🎁3/29🎉
썰거면 블언 플리즈",카페인에 절여짐,False,186,297,16672,8,False,False
1475917285579763719,1475917285579763719,2021-12-28T19:51:50.000Z,https://t.co/nN9bj0QpaS,,False,4,75,30,0,False,False
1297688139029520385,1297688139029520385,2020-08-24T00:12:33.000Z,♡ 24 | Divine Being ♡,"Miami, FL",False,468,405,1435,0,False,False
348244925,348244925,2011-08-04T03:20:13.000Z,"she/her. mumma. feminist. virgo. movies. coffee. { ; } 
⛔️ tweets are my own & do NOT represent views of my employer.","gadigal land, eora / syd 🇦🇺",False,525,150,8884,16,False,False
117089495,117089495,2010-02-24T14:09:22.000Z,,Tasmania,False,17,275,313,0,False,False
1295846721239613441,1295846721239613441,2020-08-18T22:15:19.000Z,"🌟17🌟 ❗️NSFW and N/F/T DNI❗️,🌈ADHD and Autistic,🌈 🍒Any pronouns 🍒✨pfp is mine✨🍀COMMS OPEN🍀",,False,182,1181,8418,7,False,False
1054384752491458560,1054384752491458560,2018-10-22T14:51:29.000Z,Epidemiologist. PhD candidate. Nurse in a previous life. Denominatrix. She/Her,,False,5443,3147,55233,124,False,False
1165360059297087488,1165360059297087488,2019-08-24T20:27:50.000Z,good soup,,False,127,110,6388,0,False,False
3252887558,3252887558,2015-06-22T17:00:38.000Z,@crow_death bot,,False,124,94,160955,3,False,False
1368768248540504064,1368768248540504064,2021-03-08T03:39:23.000Z,"Oye Carlos
¿Por qué tuviste que decirle que la amabas a Mariana?",muy muy lejano,False,29,155,1141,0,False,False
1305234560909623296,1305234560909623296,2020-09-13T20:00:23.000Z,,,False,876,815,75452,1,False,False
1184039192013225984,1184039192013225984,2019-10-15T09:32:16.000Z,"Upset by injustice determined to do something about it. Advocate for the undervalued, NOISI co-chair/Mum/Woke/SocDem💜 Always hungry/late/tired/talking!ADHDer🌈",Ireland West/Wannabe Norwegian,False,1381,3426,20656,2,False,False
14234801,14234801,2008-03-27T12:42:42.000Z,🏔Encouraging travellers at https://t.co/Tz7Y1gmsTp since 2005🏯 🌆 Host of #ThoughtfulTravelPod 🕌 💻Blog & social media help at https://t.co/isE23S2Uoj📱,"Perth, Western Australia",False,3308,2161,31027,298,False,False
372664544,372664544,2011-09-13T05:40:42.000Z,bi | she/her | bar wench | weeb trash | horror queen,"Arizona, USA",False,412,449,21281,2,False,False
138229621,138229621,2010-04-29T00:16:09.000Z,Politically incorrect not offended for the Dixie flag the general Lee car Pepe LePew Speedy Gonzalez La bruja del 71 waiting to see millennials get offended for,"Miami, FL(from B.A Argentina)",False,141,481,16421,1,False,False
1487987281730453510,1487987281730453510,2022-01-31T03:13:34.000Z,,,False,1,43,300,0,False,False
1147891316732375040,1147891316732375040,2019-07-07T15:33:11.000Z,,The bog,False,308,306,3902,0,False,False
982656137609793536,982656137609793536,2018-04-07T16:27:34.000Z,,,False,93,156,3965,2,False,False
298309287,298309287,2011-05-14T02:52:41.000Z,,"Madison, MS",False,1517,4035,15839,5,False,False
1509640256118837248,1509640256118837248,2022-03-31T21:14:30.000Z,,,False,48,645,381,0,False,False
19317056,19317056,2009-01-22T00:28:51.000Z,"“local comedian” for 10 years, writer, amateur astrologist, general annoyance to all","Minneapolis, MN",False,1654,4999,58591,30,False,False
1007661529280507904,1007661529280507904,2018-06-15T16:30:04.000Z,"🔞sfw/nsfw(censored) art🔮23•They/He•Bi•ASD•Opossum🔮 🖤Go to https://t.co/GVQdc650C5 for my queue🖤 🌿 If you repost my memes, pls credit me! 🌿","Florida, USA",False,2100,759,2932,13,False,False
25474583,25474583,2009-03-20T07:11:11.000Z,❤️❤️ #budtender #keyholder #acmpr #gardener #cannasavvy #MrsJuly2023,,False,3072,2729,59843,18,False,False
2484755342,2484755342,2014-05-09T01:19:29.000Z,"Writer. Book nerd. Goth. Highly functioning soci- I mean, fangirl. Devotee of Hekate. Obsessions include Hannibal, SPN, and snarking at the TV. (She/Her)","Stockholm, Sverige",False,162,47,7068,10,False,False
3268785434,3268785434,2015-07-05T06:01:36.000Z,,"Santa Monica, CA",False,81,104,309,0,False,False
20029869,20029869,2009-02-04T05:40:22.000Z,"Australian + American politics - Rock music enthusiast - KISS Army - Freedom lover ♥

#Trump2024","Sydney, Australia",False,19392,4775,5813,75,False,False
1299817826383953920,1299817826383953920,2020-08-29T21:15:11.000Z,ex Army medic.NICU/PICU/Adult CC respiratory therapist . Covid fighter. vaccinated. Biden 2020. #resist. #veteran #BrainInjurySurvivor,,False,5512,6221,37932,9,False,False
309725749,309725749,2011-06-02T15:26:50.000Z,Wee/Woo on Wattawanka Land,,False,105,832,4831,1,False,False
787428728653611067,787428728653611067,2016-10-15T23:03:33.000Z,Progressive Democrat | Pennsylvanian | Espionage Act Enjoyer | Many of my tweets are bait,,False,2640,1430,49856,31,False,False
2322122468,2322122468,2014-02-01T10:32:04.000Z,"Bassist, Vocalist,#Independent #Democracy #Resister #ClimateChange #WomensRights #BLM #LGBTQ supporter #EqualRightsForAll #BlueWave #BidenHarris",,False,811,1312,15479,1,False,False
412026166,412026166,2011-11-14T05:25:52.000Z,"Hockey, #TheLastOfUs nerd, Proud 🇨🇦 still listening to the same emo music i did in highschool 🧑🏻‍🎤🎶","Edmonton, Alberta, Canada",False,880,2669,39015,2,False,False
2249431806,2249431806,2013-12-16T22:54:47.000Z,"no worries, nothing to see here",,False,67,109,28088,2,False,False
1799248982,1799248982,2013-09-08T03:43:03.000Z,"Dog mom, fiancé, and Future Nurse. ♑️","Tennessee, USA",False,5246,3881,85649,31,False,False
4153927923,4153927923,2015-11-10T04:25:17.000Z,Business Intelligence Analyst | Servicenow Admin | Salesforce Admin | BGV | 1988 🐾❤️ | survivor | #BlackTechTwitter 🤓,"Atlanta, GA",False,2950,1741,59342,12,False,False
911628552,911628552,2012-10-29T03:11:33.000Z,"FAN ACCOUNT • (she/her) • scorpio • ari, rih, bey, mani, meg, doja, abel, nicki, blackpink",(18+) • new jerseyyyy,False,5450,3322,99554,44,False,False
960628554030551041,960628554030551041,2018-02-05T21:37:49.000Z,Follow my cat on Instagram,,False,32,68,9772,2,False,False
