City,State
Ashford,Alabama
Avon,Alabama
Birmingham,Alabama
Brent,Alabama
Leeds,Alabama
Woodstock,Alabama
Sheffield,Alabama
York,Alabama
Chelsea,Alabama
Oxford,Alabama
Brighton,Alabama
Carlisle,Arkansas
England,Arkansas
Everton,Arkansas
London,Arkansas
Mansfield,Arkansas
Newcastle,Arkansas
Brentwood,California
Chatsworth,California
Chester,California
Compton,California
Exeter,California
Hanford,California
Kensington,California
Lancaster,California
Manchester,California
Newcastle,California
Richmond,California
Ryde,California
Westminster,California
Windsor,California
Arlington,Colorado
Avon,Colorado
Brighton,Colorado
Bristol,Colorado
Hereford,Colorado
Sedgwick,Colorado
Wellington,Colorado
Westminster,Colorado
Windsor Park,Colorado
Andover,Connecticut
Ashford,Connecticut
Avon,Connecticut
Berkshire,Connecticut
Bolton,Connecticut
Bristol,Connecticut
Canterbury,Connecticut
Colchester,Connecticut
Colebrook,Connecticut
Cornwall,Connecticut
Coventry,Connecticut
Cheshire,Connecticut
Chester,Connecticut
Chesterfield,Connecticut
Danbury,Connecticut
Derby,Connecticut
Durham,Connecticut
East Hampton,Connecticut
East Windsor,Connecticut
Easton,Connecticut
Ellington,Connecticut
Enfield,Connecticut
Essex,Connecticut
Farmington,Connecticut
Glastonbury,Connecticut
Granby,Connecticut
Greenwich,Connecticut
Guilford,Connecticut
Hampton,Connecticut
Hartford,Connecticut
Kent,Connecticut
Killingworth,Connecticut
Litchfield,Connecticut
Manchester,Connecticut
Marlborough,Connecticut
Meriden,Connecticut
Middlesex County,Connecticut
Milford,Connecticut
New Britain,Connecticut
Newington,Connecticut
New London,Connecticut
Norfolk,Connecticut
Norwich,Connecticut
Oxford,Connecticut
Plymouth,Connecticut
Portland,Connecticut
Preston,Connecticut
Salisbury,Connecticut
Stafford,Connecticut
Stamford,Connecticut
Stratford,Connecticut
Tolland,Connecticut
Torrington,Connecticut
Wallingford,Connecticut
Waterford,Connecticut
Weston,Connecticut
Westport,Connecticut
Willington,Connecticut
Wilton,Connecticut
Winchester,Connecticut
Windsor,Connecticut
Windsor Locks,Connecticut
Woodstock,Connecticut
Camden,Delaware
Canterbury,Delaware
Dover,Delaware
Harrington,Delaware
Kent County,Delaware
Lancashire,Delaware
Lewes,Delaware
Lincoln,Delaware
Middletown,Delaware
Milford,Delaware
Newark,Delaware
Seaford,Delaware
Sussex County,Delaware
Warwick,Delaware
Wilmington,Delaware
Plymouth,Florida
Windermere,Florida
Woodburn,Florida
Bainbridge,Georgia
Barwick,Georgia
Boston,Georgia
Chatsworth,Georgia
Claxton,Georgia
Covington,Georgia
Hull,Georgia
Manchester,Georgia
Mansfield,Georgia
Oxford,Georgia
Preston,Georgia
Putney,Georgia
Warwick,Georgia
Washington,Georgia
Winchester,Georgia
"Birmingham Township, Schuyler County",Illinois
Chester,Illinois
Chesterfield,Illinois
Colchester,Illinois
Cumberland County,Illinois
Enfield,Illinois
Hull,Illinois
Manchester,Illinois
"Truro Township, Knox County",Illinois
White Hall,Illinois
Winchester,Illinois
Avon,Indiana
Bedford,Indiana
Bristol,Indiana
Carlisle,Indiana
Cumberland,Indiana
Darlington,Indiana
Manchester,Indiana
"Manchester Township, Dearborn County",Indiana
New Carlisle,Indiana
Oxford,Indiana
Plymouth,Indiana
Washington,Indiana
Winchester,Indiana
Worthington,Indiana
Abingdon,Iowa
Ackworth,Iowa
Alton,Iowa
Bedford,Iowa
Birmingham,Iowa
Brighton,Iowa
Cambridge,Iowa
Carlisle,Iowa
Chatsworth,Iowa
Chelsea,Iowa
Cumberland,Iowa
Derby,Iowa
Dorchester,Iowa
Ely,Iowa
Epworth,Iowa
Essex,Iowa
Hampton,Iowa
Hartley,Iowa
Hull,Iowa
Keswick,Iowa
Leeds,Iowa
Manchester,Iowa
Matlock,Iowa
Otley,Iowa
Oxford,Iowa
Radcliffe,Iowa
Sheffield,Iowa
Stockport,Iowa
Washington,Iowa
Alton,Kansas
Bentley,Kansas
Berwick,Kansas
Buxton,Kansas
Clayton,Kansas
Derby,Kansas
Devon,Kansas
